,0,1
0,0610031O16Rik,26
1,0610038B21Rik,11
2,1110002O04Rik,13
3,1110012L19Rik,13
4,1110019D14Rik,28
5,1110032F04Rik,4
6,1110035H17Rik,1
7,1110065P20Rik,17
8,1190003K10Rik,16
9,1200007C13Rik,4
10,1500011B03Rik,11
11,1500011K16Rik,3
12,1500012K07Rik,6
13,1500015O10Rik,23
14,1520401A03Rik,17
15,1600014C23Rik,29
16,1600015I10Rik,3
17,1600017P15Rik,23
18,1600023N17Rik,19
19,1600025M17Rik,4
20,1600029O15Rik,25
21,1700001C02Rik,0
22,1700001D01Rik,8
23,1700001G17Rik,7
24,1700001J04Rik,0
25,1700001J11Rik,29
26,1700001O22Rik,12
27,1700003C15Rik,22
28,1700003E16Rik,9
29,1700003H04Rik,3
30,1700003I16Rik,5
31,1700003L19Rik,1
32,1700006A11Rik,6
33,1700006E09Rik,20
34,1700007K13Rik,8
35,1700008H02Rik,4
36,1700008P02Rik,2
37,1700010B13Rik,20
38,1700010J16Rik,14
39,1700011D18Rik,5
40,1700011I03Rik,24
41,1700011L22Rik,2
42,1700012A03Rik,9
43,1700012B07Rik,22
44,1700012C14Rik,17
45,1700012E03Rik,16
46,1700012P22Rik,13
47,1700013F07Rik,25
48,1700013G24Rik,16
49,1700013H16Rik,7
50,1700014D04Rik,25
51,1700015G11Rik,24
52,1700015O11Rik,5
53,1700016C15Rik,29
54,1700016G22Rik,21
55,1700016K19Rik,0
56,1700016L21Rik,11
57,1700017B05Rik,26
58,1700017D01Rik,9
59,1700017G19Rik,8
60,1700017J07Rik,1
61,1700018A14Rik,13
62,1700018L02Rik,5
63,1700019N19Rik,6
64,1700020N01Rik,17
65,1700020N18Rik,17
66,1700021A07Rik,22
67,1700021P04Rik,0
68,1700022A22Rik,25
69,1700023C21Rik,7
70,1700024P04Rik,16
71,1700024P16Rik,10
72,1700025B11Rik,16
73,1700025D23Rik,8
74,1700026J12Rik,27
75,1700027F09Rik,13
76,1700027J07Rik,20
77,1700028B04Rik,0
78,1700028I16Rik,24
79,1700028N14Rik,20
80,1700029M20Rik,13
81,1700030C10Rik,21
82,1700030C14Rik,16
83,1700030F04Rik,9
84,1700030L20Rik,24
85,1700030O20Rik,17
86,1700031A10Rik,24
87,1700031F05Rik,0
88,1700034B16Rik,17
89,1700034J04Rik,13
90,1700034J05Rik,20
91,1700034K08Rik,27
92,1700039E22Rik,17
93,1700040D17Rik,13
94,1700040L02Rik,16
95,1700041C23Rik,9
96,1700042G15Rik,7
97,1700042O10Rik,20
98,1700044C05Rik,8
